,game,release_date,genre,platforms,developer,esrb_rating,ESRBs,metascore,userscore,critic_reviews,user_reviews,num_players,summary
223,Tom Clancy's Splinter Cell: Chaos Theory,"Mar 28, 2005","Action Adventure, Modern, General, Modern",Dreamcast,Ubisoft Montreal,M,Blood Strong Language Violence,92,8.7,36,557,"1-4 Players, 4 Players Online No Online Multiplayer","The year is 2008. Information Warfare has evolved into the most dangerous threat to global stability. You are Sam Fisher, Third Echelon's most skilled Splinter Cell operative. You are assigned to execute a hazardous series of operations to investigate and eliminate a new source of information attacks, originating in North Korea. To succeed, you will employ a host of unconventional counterintelligence activities to gather intel, disrupt enemy operations and neutralize adversary targets. As Information Warfare evolves, so must the Splinter Cell. You must penetrate deeper into hostile territory and operate undetected, closer to the enemy than ever before. At your disposal is a lethal array of tactics ranging from Combat Knife techniques, experimental prototype weapons skills, and more radical hand-to-hand techniques such as the Inverted Chokehold. Experience the thrill of acting as a lone operative fighting tomorrow's threats in the field, and of cooperating online with a partner to accomplish crucial missions. Die in action, and the free world dies with you. Never-before-seen graphics technology offers the best visuals ever to appear on any platform. Advanced physics engine allows rag doll physics, particle effects and perfect interaction with the environment. The most complete arsenal of weapons and gadgets, from the combat knife to experimental prototype combat systems. Totally open level design with multipaths and optional secondary objectives. [Ubisoft]"
224,Final Fantasy XII,"Oct 31, 2006","Role-Playing, Console-style RPG",Dreamcast,Square Enix,T,Alcohol Reference Fantasy Violence Mild Language Partial Nudity Suggestive Themes,92,7.6,64,1494,1 Player,"The story takes place in a world called ""Ivalice,"" in an age when magic was commonplace and airships plied the skies - the Archadian Empire, seeking to strengthen its base of power, had been invading and subjugating its neighboring lands one by one- a fate which befell the small Kingdom of Dalmasca. Archadia's invasion and the subsequent death of the Dalmascan king prompted the Princess Ashe, the sole surviving heir to the Dalmascan throne, to take up arms against the invaders. In her struggle to oust the occupying Archadian forces and restore freedom to her people, Ashe must watch as many of her allies pay the blood price for that freedom. Though tempted to abandon all hope in the face of the Empire's might, her determination keeps her from succumbing before what would seem to be inevitable defeat. Then she meets Vaan, an urchin from the Dalmascan capital of Rabanastre. Vaan dreams of one day becoming a sky pirate, escaping the Empire on his airship. Vaan, Ashe, Vaan's friend Penelo, the sky pirate Balthier, his partner Fran and many more are on an adventure through Ivalice that traces the mysteries behind the Archadian Empire's invasion. Bringing with it a wide array of new gameplay elements, Final Fantasy XII will change the way players think about the Final Fantasy series. Numerous possibilities abound within each scenario, allowing for a less linear, more unique experience for each player. The game also supports Dolby Pro Logic II both in-game and during movie sequences, immersing the player in the middle of the action. [Square Enix]"
225,Undertale,"Aug 15, 2017","Role-Playing, Japanese-Style",Dreamcast,"tobyfox, 8-4",E10+,,92,7.2,18,888,1 Player,"Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.

((Healthy Dog's Warning: Game contains imagery that may be harmful to players with photosensitive epilepsy or similar condition.))

features:

*    Killing is unnecessary: negotiate out of danger using the unique battle system.
*    Time your attacks for extra damage, then dodge enemy attacks in a style reminiscent of top-down shooters.
*    Original art and soundtrack brimming with personality.
*    Soulful, character-rich story with an emphasis on humor.
*    Created mostly by one person.
*    Become friends with all of the bosses!
*    At least 5 dogs.
*    You can date a skeleton.
*    Hmmm... now there are 6 dogs...?
*    Maybe you won't want to date the skeleton.
*    I thought I found a 7th dog, but it was actually just the 3rd dog.
*    If you play this game, can you count the dogs for me...? I'm not good at it."
226,Madden NFL 2003,"Aug 12, 2002","Sports, Traditional, Football, Sim",Dreamcast,EA Sports,E,,92,7.2,13,22,1-4 Players,"The game of football just got more real with Madden NFL 2003.  This year's installment of the Madden NFL Football series features more depth, new animation, realistic player AI, and in-depth play modes.  Hop on John Madden's Cruiser Tour Bus and travel to all NFL cities to complete skilled tasks in the all-new Mini-Camp mode.  The improved graphics and presentation now show sidearm QBs, gang-tackling, stand-still receiver catches, and more than 300 realistic player faces.  Madden NFL 2003 gives you more control than ever before, with faster game speed, a more finely tuned passing game, and independent audibles for defensive line, linebackers, and defensive backs."
227,The Witcher 3: Wild Hunt,"May 19, 2015","Action RPG, Role-Playing, Action RPG",Dreamcast,CD Projekt Red Studio,M,,92,9.2,79,17641,1 Player,"With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format. Also known as ""The Witcher III: Wild Hunt"""
228,Super Mario World: Super Mario Advance 2,"Feb  9, 2002","Action, Platformer, 2D",Dreamcast,Nintendo,E,,92,9.0,28,213,1 Player,"Mario hasn't even had a chance to savor his victory in the original Super Mario Advance, and already he's back for more in Super Mario World: Super Mario Advance 2.  This game is a re-creation of the Super NES classic Super Mario World, featuring every last secret exit and all 74 levels of platform-jumping action.  Once again, Princess Peach has been kidnapped by the ever-diabolical Bowser, and Mario and Luigi set out on a massive adventure to rescue her.  As either Mario or Luigi, you'll solve puzzles, shoot fireballs, fly, and discover the hidden secrets in Dinosaur Island."
229,ESPN NFL 2K5,"Jul 20, 2004","Sports, Traditional, Football, Sim",Dreamcast,Visual Concepts,E,,92,8.1,42,132,1-4 Players,"ESPN NFL 2K5 kicks off the football season with an improved ESPN presentation, a variety of player moves, and more. Now you can perform all-new moves during an entire season, while earning points to customize your crib with different items. The game also features new modes, including ESPN 25th Anniversary mode, where you can play in classic NFL situations over the past 25 years. First-Person Football mode returns with new camera switching, improved audio, passing control options, and more."
230,Super Smash Bros. Melee,"Dec  2, 2001","Action, Fighting, 3D",Dreamcast,HAL Labs,T,Comic Mischief Mild Violence,92,9.1,38,948,1-4 Players,"Nintendo's all-star cast of combatants is back in Super Smash Bros. Melee, along with a new batch of brawlers ready to tear it up.  The sequel to Super Smash Bros. keeps the same basic premise: Characters duke it out in interactive environments, using special attacks and various items to knock each other into the abyss.  Some new defensive techniques add an even deeper level of complexity to the combat.  In addition to traditional battle royale matches, players can select all-new ways to play like Coin mode and Tournament mode."
231,Madden NFL 2003,"Aug 12, 2002","Sports, Traditional, Football, Sim",Dreamcast,EA Tiburon,E,,92,7.1,16,21,1-4 Players,"The game of football just got more real with Madden NFL 2003.  This year's installment of the Madden NFL Football series features more depth, new animation, realistic player AI, and in-depth play modes.  Hop on John Madden's Cruiser Tour Bus and travel to all NFL cities to complete skilled tasks in the all-new Mini-Camp mode.  The improved graphics and presentation now show sidearm QBs, gang-tackling, stand-still receiver catches, and more than 300 realistic player faces.  Madden NFL 2003 gives you more control than ever before, with faster game speed, a more finely tuned passing game, and independent audibles for defensive line, linebackers, and defensive backs."
232,Virtua Tennis,"Jun  8, 2000","Sports, Traditional, Tennis",Dreamcast,Hitmaker,E,,92,8.4,23,19,1 Player,"Imagine how a tennis player feels when he enters the arena, the crowd is cheering, the atmosphere electric, the adrenaline rushes... Well now you can with Virtua Tennis, the most lifelike and playable tennis game ever! Play as one of eight licensed players and uncover the secret stars. As well as the traditional arcade mode you can play in the exhibition mode, with 4 player action via doubles play. Once you're mastered these modes take on the world in the world circuit mode, with unique training games, different challenges and shops to buy clothing, equipment, stages and playing partners. Virtua Tennis - so realisitc you can almost taste the strawberries and cream."
233,Rome: Total War,"Sep 22, 2004","Strategy, Real-Time, Historic, General, Historic",Dreamcast,Creative Assembly,T,Violence,92,9.0,58,1432,"1-8 Players, 8 Players Online No Online Multiplayer","Rome: Total War is the next generation in epic strategy gaming from the critically acclaimed and award winning Total War brand. The aim of the game is to conquer, rule and manipulate the Roman Empire with the ultimate goal of being declared as the ""Imperator"" of Rome. Set in a time when the mighty Roman Empire emerged to conquer the known world against powerful enemies; when gladiators fought to a bloody death in the Coliseum; when Spartacus defied the might of the empire; when Hannibal led his invincible army and his war elephants across the Alps to strike fear into the very heart of Rome itself; and when Julius Caesar finally smashed the Barbarian Gauls. This was a time of brutal confrontation between civilisation and barbarism, and of civil war as the ancient world's only superpower turned on itself. A completely new Total War engine uses innovative technology and groundbreaking design to bring the world of ancient Rome to life to deliver the biggest and most cinematic battles ever seen in a videogame. So the battles in Rome: Total War maintain the epic scale that fans of Total War are used to, but now use high-detailed 3D polygonal troops and allows huge cities to be displayed on the battlefields. The result is truly spectacular. [Activision]"
234,Forza Motorsport 3,"Oct 27, 2009","Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",Dreamcast,Turn 10,E,Mild Lyrics,92,8.1,90,567,"1-2 Players, 8 Players Online Up to 8 Players","Whether it's an exotic sports car like the new Audi R8 V10, a classic American muscle car such as the Ford GT, or a hot Asian import such as the Nissan 370Z, everyone has a dream car. The game makes it possible for everyone to experience the thrill of owning the world's most exotic and exquisite cars. Live the most realistic racing experience ever as you take the wheel of more than 400 of the most-beloved cars on over 100 renowned real-world tracks and exotic road courses from around the globe. With breathtaking HD graphics and the most advanced vehicle performance modeling in a video game, Forza Motorsport 3 includes a host of driving assists and adjustable skill levels to make the game a gripping pick-up-and-play experience for audiences of all ages and skill levels. [Microsoft]"
235,Demon's Souls,"Nov 11, 2020","Role-Playing, Action RPG",Dreamcast,"JapanStudio, Bluepoint Games",,,92,8.0,100,3238,Up to 4 Players Up to 6 Players,"From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality and incredible performance. In his quest for power, the 12th King of Boletaria, King Allant channelled the ancient Soul Arts, awakening a demon from the dawn of time itself, The Old One. With the summoning of The Old One, a colorless fog swept across the land, unleashing nightmarish creatures that hungered for human souls. Those whose souls were stripped from them, lost their minds – left only with the desire to attack the sane that remained. Now, Boletaria is cut off from the outside world, and the knights who dare penetrate the deep fog to free the land from its plight, are never seen again. As a lone warrior who has braved the baneful fog, you must face the hardest of challenges to earn the title “Slayer of Demons” and send The Old One back to its slumber."
236,Okami HD,"Dec 12, 2017","Action Adventure, General",Dreamcast,Capcom,T,,92,7.7,10,219,1 Player,"In Okami, the player takes the role of the mythical sun goddess Amaterasu, in the form of a wolf. Her task is to restore color (or 'life') to the world by destroying the monsters who have stolen it. Since Amaterasu is a diety, there are naturally people who worship her and people who don't. The more people who worship her (as a result of her restoring color and doing other good deeds for them), the more powerful she becomes."
237,Undertale,"Sep 15, 2015","Role-Playing, General, Japanese-Style",Dreamcast,tobyfox,,,92,8.4,43,4941,1 Player,"Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever."
238,Batman: Arkham Asylum,"Aug 25, 2009","Action Adventure, Fantasy, General, Fantasy",Dreamcast,Rocksteady Studios,T,Alcohol and Tobacco Reference Alcohol Reference Blood Mild Language Suggestive Themes Tobacco Reference Violence,92,8.7,78,1357,1 Player,"In Batman: Arkham Asylum, the player assumes the role of Batman as he delivers The Joker to Arkham Asylum. There, the imprisoned super-villains have set a trap and an immersive combat gaming experience unfolds. With an original script penned by Emmy Award-winning Batman writer Paul Dini, the game brings the universe of DC Comics' detective to life with stunning graphics. Batman: Arkham Asylum offers players the chance to battle Gotham's worst villains with Batman's physical and psychological strength in a graphically distinct and story-driven game. [Eidos Interactive]"
239,Super Mario Sunshine,"Aug 25, 2002","Action, Platformer, 3D",Dreamcast,Nintendo,E,Comic Mischief,92,8.4,61,919,1 Player,"When Mario, Peach, and an entourage of Peach's loyal Toad friends set out for a tropical vacation on lovely Isle Delfino, they're in store for much more than a relaxing holiday. A mustachioed maniac has mucked up the entire island, and Mario is accused of committing the crime. Armed with a hi-tech water cannon called FLUDD (Flash Liquidizer Ultra Dousing Device), Mario sets out to clean the island, clear his name, and solve the mystery of the villainous vandal. With new enemies, moves, and surprises, Super Mario Sunshine offers plenty of challenges. "
240,SSX 3,"Oct 20, 2003","Sports, Alternative, Snowboarding",Dreamcast,EA Canada,E,Comic Mischief Mild Violence,92,8.1,27,31,1-2 Players,"Drop in and conquer the massive, living mountain rife with ego-crushing challenges and gravity-bending thrills.  SSX 3 returns with more slopes and all-new hazards to overcome including lightning storms, vertical drops, serpentine slopestyle courses and avalanches.  Customize your rider's clothes, abilities, and moves.  Pull off three levels of awesome ""Uber tricks."" Dominate the mountain, and then test your skills online.  It's a long way down, so make sure you're ready for the challenge."
241,SoulCalibur II,"Aug 27, 2003","Action, Fighting, 3D",Dreamcast,Namco,T,Suggestive Themes Violence,92,8.8,39,68,1-2 Players,"Open the next chapter in world of Soul Calibur.  Soul Calibur II features seven distinctive gameplay modes including: Arcade, Versus, Time Attack, Survival, Team Battle, Practice, and the console exclusive Weapon Master.  Collect up to 200 different weapons and battle characters with their own styles, strengths, and abilities.  In addition to the 13 fighters, each platform has unique special fighters:  Link for GameCube, Heihachi for PS2, and Spawn for Xbox.  Prove yourself through soul and sword."
242,Tony Hawk's Pro Skater,"Aug 31, 1999","Sports, Alternative, Skateboarding",Dreamcast,Neversoft Entertainment,T,,92,8.7,18,121,1-2 Players,"Skate as legendary Tony Hawk, or as one of nine top pros. Work your way up the ranks by landing suicidal tricks in brutal competitions to become the highest-ranked skate champ."
243,Thief: The Dark Project,"Nov 30, 1998","Action Adventure, Fantasy, General, Fantasy",Dreamcast,Looking Glass Studios,M,Animated Blood Animated Violence,92,9.0,18,432,1 Player,"Sneak through the shadows of 12 treacherous missions including haunted cathedrals, subterranean ruins, and forbidding prisons, in a dark and sinister city. Stalk your prey on the quest for stolen goods with your blackjack, sword and an assortment of unique arrows. Steal for money and uncover the hidden agendas of your allies and enemies as you play through an unravelling story of deception and revenge. Survive in a world where shadows are your only ally, trust is not an option, and confrontation results in death! [Eidos Interactive]"
244,Fire Emblem: Awakening,"Feb  4, 2013","Strategy, Turn-Based, Fantasy, Fantasy, Tactics",Dreamcast,Intelligent Systems,T,Alcohol Reference Fantasy Violence Mild Language Mild Suggestive Themes,92,9.0,72,1556,1 Player,"Lead an army of soldiers in a series of scaled turn-based strategy battles. In the process, develop relationships with your team, utilizing their special abilities on the battlefield to gain victory and advance the story, which features a wide array of characters from a variety of nations and backgrounds. They can be joined by a character of your making, with a unique appearance crafted as you see fit."
245,Age of Empires II: The Age of Kings,"Sep 30, 1999","Strategy, Real-Time, Historic, Historic, Command",Dreamcast,Ensemble Studios,T,Blood Violence,92,9.1,21,1295,No Online Multiplayer Up to 8 Players,"Age of Empires II: The Age of Kings is the sequel to the award-winning, best-selling real-time strategy game ""Age of Empires."" Age of Empires II spans a thousand years, from the fall of Rome through the Middle Ages in which players lead one of 13 civilizations into greatness. The game keeps the epic scope of Age of Empires' game play while evolving the combat and economic features. [Microsoft]"
246,Final Fantasy X,"Dec 17, 2001","Role-Playing, Console-style RPG",Dreamcast,SquareSoft,T,Blood Violence,92,8.9,53,1827,1 Player,Final Fantasy's first game on the Playstation 2 is the first to use voice acting and a massive leap in the cinematic approach to storytelling.  Stop reading and go play.
247,Prince of Persia: The Sands of Time,"Nov 18, 2003","Action Adventure, Fantasy",Dreamcast,Ubisoft,T,Blood Suggestive Themes Violence,92,8.1,33,65,1 Player,"Embark on a journey of scorched sands and ancient legends.  A young prince, drawn to the dark powers of a magic dagger, unleashes a deadly evil upon a beautiful kingdom.  Guide the Prince on his quest to reverse the curse by using the Sands of Time, a power which allows you to erase the past, see into the future and slow down the present.  Perform gravity-defying acrobatics and swashbuckling attacks in a staggering array of landscapes and kingdoms.  Restore peace to the land and fulfill your destiny."
248,The Walking Dead: A Telltale Games Series,"Apr 27, 2012","Miscellaneous, Adventure, Compilation, Compilation, Point-and-Click",Dreamcast,Telltale Games,M,Blood and Gore Drug Reference Intense Violence Sexual Themes Strong Language,92,8.6,12,1260,1 Player,"Based on Robert Kirkman's award-winning comic book series, The Walking Dead is about a world devastated by an undead apocalypse and the horrifying choices you're forced to make to survive. Assume the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer you redemption in a world gone to hell."
249,Unreal Tournament (1999),"Nov 30, 1999","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",Dreamcast,Epic Games,M,Animated Blood & Gore Animated Blood and Gore Animated Violence,92,9.0,21,649,1-32 Players,"The stakes are high. On the one hand, fame, fortune, glory; on the other hand, death. Prove your skill in the arenas of the future, leading your team of computer-controlled ""bots"" to victory in the Grand Tournament, or compete with the best of the best via LAN or the Internet in seat-of-your-pants battles. While Unreal Tournament offers the finest in classic ""Deathmatch"" play, right out of the box you can compete in Team Deathmatch or Capture the Flag. Control strategic points on the map to rack up your score in Domination, or test your skills in Assault, as one team defends its base from the other. Each game type comes with its own special maps and rules, for never-ending variety and challenge. Add gameplay mutators such as Jump Match or InstaGib, and Unreal Tournament will keep your wits honed to a razor edge. [Infogrames]"
250,Sid Meier's Alpha Centauri,"Feb 12, 1999","Strategy, Turn-Based, Sci-Fi, Sci-Fi, 4X",Dreamcast,Firaxis Games,E,Mild Animated Violence,92,8.7,19,259,1 Player,"Legendary designer Sid Meier presents the next evolution in strategy games, with the most addictive, compelling gameplay yet. Explore the alien planet that is your new home and uncover its myriad mysteries. Discover over 75 extraordinary technologies. Build over 60 base upgrades and large-scale secret projects for your empire. Conquer your enemies with a war machine that you design from over 32,000 possible unit types. [Firaxis]"
251,Wave Race 64,"Nov  1, 1996","Driving, Racing, Snow / Water",Dreamcast,Nintendo,E,,92,8.3,13,113,1-2 Players,"Wave Race 64 is sure to provide some of the most exciting racing you've ever experienced. Feel the pounding and crashing of the waves as you accelerate into straight-aways, whip around the marker buoys and go airborne on the jump ramps. Don't race alone - challenge a friend! Take control in three different modes of play - Championship, Time Trials and Stunt Mode. Nine challenging courses set in exotic locales - race conditions change and the wave action responds to the way both you and your opponents race!"
252,Divinity: Original Sin II - Definitive Edition,"Aug 31, 2018","Role-Playing, Western-Style",Dreamcast,Larian Studios Games,M,,92,7.9,46,479, Online Multiplayer Up to 4 Players,"Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a Sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching Void. The Divine is dead and the Void is everywhere. Sourcerers are blamed and the Divine Order is leading the charge against the threat: you. Captured and sent to Fort Joy, you will be ""cured"" of your powers -- no matter the cost. But the Order has secrets of its own that may cast doubt on its so-called holy mission. As you escape from Fort Joy, you realize that if the world remains godless, it will be consumed by the Void."
253,Galactic Civilizations II: Twilight of the Arnor,"Apr 30, 2008","Strategy, Turn-Based, Sci-Fi, Sci-Fi, 4X",Dreamcast,Stardock,,,92,8.3,19,140,1 Player,"The galaxy is being consumed by the fires of war as we enter the final act of the Dread Lord saga. Galactic Civilizations II: Twilight of the Arnor is the second  expansion pack to the award-winning PC strategy game, Galactic Civilizations II. Galactic Civilizations II: Twilight of the Arnor expands the gameplay of Galactic Civilizations in all new ways. New campaign detailing the final chapter in the Dread Lords wars. The Terror Star arrives, capable of destroying any star. Unique technology trees for all 12 civilizations. Unique planetary improvements for each civilization. New 3D engine powered map editor. New Scenario Editor for creating highly detailed custom games. New Campaign Editor for players who want to create their own custom epic campaigns for themselves or to share with others. New Metaverse Tournaments: Specific maps & scenarios recorded to the Metaverse with prizes for top players. [Stardock]"
254,Super Smash Bros. for Wii U,"Nov 21, 2014","Action, Fighting, Fighting, 3D, 2D, 2D, 3D",Dreamcast,Bandai Namco Games,E10+,,92,8.9,77,2077,Up to 4 Players Up to 8 Players,Duke it out with your favorite Nintendo characters in Super Smash Bros. for the Nintendo Wii U.
255,Guitar Hero II,"Nov  7, 2006","Miscellaneous, Rhythm, Music",Dreamcast,Harmonix Music Systems,T,Lyrics,92,8.4,69,162,1-2 Players,"Rock the Rhythm, Lead, and Bass Guitar tracks in the follow-up sequel to ""Guitar Hero."" Form your guitar duo and shred riffs cooperatively or go head to head in all new multiplayer modes. With over 55 tracks to rock out to, you'll go from Guitar Hero to Guitar god in one press of a fret button. Choose from multiple rock characters and jam at concert venues that grow in size as your rock career progresses. You'll start your rock career playing small clubs and bars, but if you play well you'll work your way up to stadiums and arenas. Guitar Hero II takes the guitar rock experience to new volumes by allowing players to play 3 different guitar tracks: Rhythm, Bass, and Lead. Guitar Hero II introduces all new multiplayer modes like: cooperative, pro-face off, and face off, letting 2 Guitar Heroes conduct their own symphonies of destruction. Shred School: Guitar Hero II features an all new practice mode, allowing Guitar Zeroes to become Guitar Heroes with enough practice. [RedOctane]"
256,Final Fantasy VII,"Sep  3, 1997","Role-Playing, Console-style RPG",Dreamcast,SquareSoft,T,,92,8.9,20,2412,1 Player,"An epic adventure across 3 cd-roms. What begins as a rebellion against an evil corporation becomes much more. And what erupts goes beyond imagination. With vivid landscapes, lush 3D animation and environments, Square Soft's multi-million dollar masterpiece is like nothing ever seen before. "
257,Rock Band,"Nov 20, 2007","Action, Miscellaneous, Rhythm, Music, Music",Dreamcast,Harmonix Music Systems,T,Lyrics Mild Suggestive Themes,92,8.1,35,127,"1-4 Players, 4 Players Online","Play together in your living room or across the world! Rock Band offers deep online functionality, allowing players to rock together whether they’re in Rhode Island or Reykjavik. Major record labels and leading music publishers have signed on to provide unrivaled access to master recordings and legendary rock artists – from punk, metal and alternative to classic and southern rock. Rock Band ships with 45 fearsome tracks from artists like Bon Jovi and The Ramones to Black Sabbath and Stone Temple Pilots. Full support for downloadable content delivers never-ending challenges. New content will be available every week. Download full albums for play with Rock Band including the iconic rock album 'Who's Next' by The Who. Metallica has signed on to offer several tracks as digitally-distributed game levels for Rock Band as well as ""Enter Sandman"" for the Rock Band ship disc. Create your own rock avatar! Mold a unique rocker using Rock Band's character creator. Chose from gender, body shape, face, hair, clothes, tattoos and signature moves. Don't forget to pick your specialized rockin’ instrument. Drumming in the spotlight! Showcase a real drum solo with Rock Band's freestyle drum fill windows featured in each song. Break out your own rhythm and style as anything goes! Vocalists can bring the crowd to their feet during Rock Band’s freestyle vocal fill windows. Ad-lib your own words or shout to the crowd to raise the rock intensity of the performance. Band mates can fail out of a song for poor performance, but the band still plays on. Rescue your failing mate by busting out signature moves and blistering solos to wow the crowd with showmanship. Earn bonus points for your band during Rock Band’s Unison Phrase opportunities if everyone plays perfectly. [Harmonix]"
258,Chrono Trigger,"Nov 25, 2008","Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",Dreamcast,TOSE,E10+,Animated Blood Mild Fantasy Violence Suggestive Themes Use of Alcohol,92,9.1,57,753,"1 Player, 2 Players Online No Online Multiplayer","[Metacritic's 2008 DS Game of the Year] When a newly developed teleportation device malfunctions at the Millennial Fair, young Crono must travel through time to rescue his unfortunate companion from an intricate web of past and present perils. The swashbuckling adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future. Features an engaging and unparalleled storyline, leading to the discovery of multiple epic conclusions to a journey that transcends time. An inspiring musical score created by Yasunori Mitsuda. Intriguing battle system made possible by the unique combination of the Active Time Battle system and Tech skills. Famed character designer Akira Toriyama lends his signature art style to create the vibrant world that has captivated gamers around the world. Taking advantage of the Nintendo DS hardware, CHRONO TRIGGER makes its way onto the portable platform with all-new dual screen presentation and Touch-Screen functionality. A brand new dungeon and a Wireless Play mode adds exciting new dimensions to this timeless classic. [Square Enix]"
259,Bayonetta 2,"Feb 16, 2018","Action Adventure, Linear",Dreamcast,"Nintendo, PlatinumGames",M,,92,8.5,31,508,1 Player,"In this climatic sequel to the critically acclaimed Bayonetta action game, players will be on the edge of their seats from start to finish. Brimming with epic, gorgeous cut scenes and battles that are more exhilarating than ever, this game never lets up on the action. Fight on top of a jet as it soars through a downtown city. Duke it out against a giant angel, who bears a whip for an arm, on top of a speeding train. And take to the skies in a fight against a demonic monster while ascending to the top of a skyscraper."
260,Final Fantasy XIV: Endwalker,"Dec  7, 2021","Role-Playing, Massively Multiplayer",Dreamcast,Square Enix,,,92,9.4,28,1393,1 Player,"Endwalker is the fourth expansion pack for FINAL FANTASY XIV Online. Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon."
261,Journey,"Mar 13, 2012","Action, Adventure, General, Platformer, Platformer, 3D, 3D",Dreamcast,ThatGameCompany,E,Mild Fantasy Violence,92,8.8,78,1558,2 Players No Online Multiplayer,"Enter the world of Journey, the third game from indie developers thatgamecompany (creators of ""flOw"" and ""Flower""). Journey is an interactive parable, an anonymous online adventure to experience a person’s life passage and their intersections with other’s. You wake alone and surrounded by miles of burning, sprawling desert, and soon discover the looming mountaintop which is your goal. Faced with rolling sand dunes, age-old ruins, caves and howling winds, your passage will not be an easy one. The goal is to get to the mountaintop, but the experience is discovering who you are, what this place is, and what is your purpose. Travel and explore this ancient, mysterious world alone, or with a stranger you meet along the way. Soar above ruins and glide across sands as you discover the secrets of a forgotten civilization. [thatgamecompany]"
262,Xenoblade Chronicles,"Apr  6, 2012","Role-Playing, Action RPG, Console-style RPG, Action RPG",Dreamcast,Monolith Soft,T,,92,9.1,59,1411,1 Player,"Xenoblade Chronicles throws you into a universe bursting with imagination. Take hold of an ancient sword that offers glimpses of the future, customise your characters extensively and discover a world where your relationships with others matter."
263,Conker's Bad Fur Day,"Mar  4, 2001","Action, Platformer, 3D",Dreamcast,Rare Ltd.,M,Animated Violence Mature Sexual Themes Strong Language,92,8.9,19,395,1 Player,"The day after his 21st birthday bash, Conker's sporting the worst hangover ever, and he just can't seem to find his way home. Prepare to stagger through randy, raunchy, raucous scenarios crammed full of bad manners, twisted humor, and graphic bodily functions. Unless you're a fan of violence, foul language, and racy innuendo, you'd best steer clear of this one."
264,Medal of Honor,"Oct 31, 1999","Action, Shooter, First-Person, Historic",Dreamcast,Dreamworks Interactive,T,Animated Violence,92,8.7,17,184,1-2 Players,"Tomorrow is D-Day. Tonight you land behind enemy lines. The tide of the way is in your hands. You are an elite Special Forces agent sent to execute covert operations, search and rescue missions, and commando raids. Fight to win the medal of Honor in the only game that lets you take on Nazis in WWII."
265,PaRappa the Rapper,"Oct 31, 1997","Miscellaneous, Rhythm, Music",Dreamcast,NanaOn-Sha,K-A,,92,7.6,15,93,1 Player,Help Parappa rap with the best of the master rappers and straight into Sunny's heart. Guaranteed you'll be singin' and dancin' along with Parappa and his pals to the most fun of mixes.
266,Rock Band 2,"Sep 14, 2008","Action, Miscellaneous, Rhythm, Music, Music",Dreamcast,Harmonix Music Systems,T,Lyrics Suggestive Themes,92,8.2,69,167,"1-4 Players, 4 Players Online","Rock Band 2 builds upon its foundation as the first music game to introduce co-operative band gameplay, multiple instruments, a robust online multiplayer experience, an unrivaled offering of downloadable content and raises the bar by delivering an entirely new level of depth, connectivity, authenticity and features including: Backwards compatibility with Rock Band downloadable music content. All previously purchased tracks immediately load into your Rock Band 2 song list. No need to re-purchase or re-download. The biggest and most diverse soundtrack ever featuring some of rock's most prolific acts, comprised entirely of master recordings. Major new and dynamic online modes that connect the entire Rock Band community in more ways than ever before both locally and globally. More variety of instrument choices than ever before with new and improved drum and guitar peripherals, enhanced functionality and innovative new designs - all fully compatible with the original Rock Band instruments. [MTV]"
